"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Sensitivity_edge_weight","Primary_retained","Sensitivity_retained","Primary_sign","Sensitivity_sign","State_matches_primary","Absolute_edge_difference"
"A1",2024,"VCF0806--VCF0839","VCF0806","VCF0839",0.173090954828948,0.172349475121943,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000741479707004639
"A1",2024,"VCF0809--VCF0839","VCF0809","VCF0839",0.282103083965334,0.282985426816189,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000882342850855145
"A1",2024,"VCF0838--VCF0839","VCF0838","VCF0839",0.0952675388816836,0.0939668545316448,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00130068435003877
"A1",2024,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.00263679822443648,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.00263679822443648
"A1",2024,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2024,"VCF0838--VCF0879a","VCF0838","VCF0879a",0.020217806487761,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.020217806487761
"A1",2024,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2024,"VCF0806--VCF0888","VCF0806","VCF0888",-0.115991969116665,-0.116857570329763,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00086560121309863
"A1",2024,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0352736970916302,-0.0381726512720939,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00289895418046369
"A1",2024,"VCF0838--VCF0888","VCF0838","VCF0888",-0.118991017033197,-0.120420691936802,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00142967490360485
"A1",2024,"VCF0839--VCF0888","VCF0839","VCF0888",-0.0418929526015918,-0.0444191395094031,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00252618690781131
"A1",2024,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.121405830251357,-0.122769568259978,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00136373800862137
"A1",2024,"VCF0806--VCF0890","VCF0806","VCF0890",0.0935194910662682,0.0941579063285493,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000638415262281075
