"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions","Success_rate","Retention_frequency","Primary_state_match_proportion","Same_sign_when_retained","Median_edge_weight","Lower_edge_weight","Upper_edge_weight"
"A2",2020,"VCF0806--VCF9223","VCF0806","VCF9223",0.0242233695850124,1000,1,0.666,0.657,0.986486486486487,0.0178660246657484,0,0.0958038432794081
"A2",2020,"VCF0809--VCF9223","VCF0809","VCF9223",0,1000,1,0.344,0.656,,0,-0.0544108306827941,0.0560274171695266
"A2",2020,"VCF0838--VCF9223","VCF0838","VCF9223",0.142161290526218,1000,1,1,1,1,0.136638978475949,0.0540222209559491,0.208663904514185
"A2",2020,"VCF0839--VCF9223","VCF0839","VCF9223",0,1000,1,0.443,0.557,,0,-0.0417059981905592,0.0622204664613892
"A2",2020,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.436152559373321,1000,1,1,1,1,0.426191805314152,0.347083399003769,0.500777375623306
"A2",2020,"VCF0888--VCF9223","VCF0888","VCF9223",-0.11192935869046,1000,1,0.987,0.987,1,-0.107222905012326,-0.193716342403742,-0.0158516855188579
"A2",2020,"VCF0890--VCF9223","VCF0890","VCF9223",0.101132031781839,1000,1,0.969,0.969,1,0.0859635809009744,0,0.172173960999082
"A2",2020,"VCF0894--VCF9223","VCF0894","VCF9223",0,1000,1,0.497,0.503,,0,-0.0408779755704397,0.0808744465611419
"A2",2024,"VCF0806--VCF0809","VCF0806","VCF0809",0.286446415679923,1000,1,1,1,1,0.283729489038238,0.203020163295063,0.361484044885131
"A2",2024,"VCF0806--VCF0838","VCF0806","VCF0838",0.0969823508352493,1000,1,0.991,0.991,1,0.0997046218566804,0.0166594017486049,0.177699984233952
"A2",2024,"VCF0809--VCF0838","VCF0809","VCF0838",0.081819208318309,1000,1,0.972,0.972,1,0.0821222767326479,0,0.164100006697068
"A2",2024,"VCF0806--VCF0839","VCF0806","VCF0839",0.173090954828948,1000,1,1,1,1,0.173969631669694,0.0966439602141567,0.254153183248432
"A2",2024,"VCF0809--VCF0839","VCF0809","VCF0839",0.282103083965334,1000,1,1,1,1,0.280507135436187,0.191687852399622,0.356294709369967
"A2",2024,"VCF0838--VCF0839","VCF0838","VCF0839",0.0952675388816836,1000,1,0.985,0.985,1,0.0932579136237376,0.0126373864851459,0.179652865189737
"A2",2024,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.00263679822443648,1000,1,0.5,0.459,0.918,0,-0.0300507345419279,0.0755691078619373
"A2",2024,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,1000,1,0.355,0.645,,0,-0.0572724375349346,0.0468569197625452
"A2",2024,"VCF0838--VCF0879a","VCF0838","VCF0879a",0.020217806487761,1000,1,0.643,0.619,0.962674961119751,0.015483374661382,0,0.0972853756923778
"A2",2024,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,1000,1,0.331,0.669,,0,-0.054088499640445,0.0506747574465316
"A2",2024,"VCF0806--VCF0888","VCF0806","VCF0888",-0.115991969116665,1000,1,0.992,0.992,1,-0.10867526634191,-0.190122044846492,-0.0178938526296641
"A2",2024,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0352736970916302,1000,1,0.738,0.731,0.990514905149051,-0.0291253492674144,-0.117641805131759,0
"A2",2024,"VCF0838--VCF0888","VCF0838","VCF0888",-0.118991017033197,1000,1,0.992,0.992,1,-0.113185822735764,-0.207995060356546,-0.0226933427006216
"A2",2024,"VCF0839--VCF0888","VCF0839","VCF0888",-0.0418929526015918,1000,1,0.708,0.701,0.990112994350282,-0.032852097139426,-0.115482958500812,0
"A2",2024,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.121405830251357,1000,1,0.99,0.99,1,-0.114775247723157,-0.202154364342453,-0.0274883668772991
"A2",2024,"VCF0806--VCF0890","VCF0806","VCF0890",0.0935194910662682,1000,1,0.979,0.979,1,0.0890049371107496,0.00264617645532593,0.179898650801738
"A2",2024,"VCF0809--VCF0890","VCF0809","VCF0890",0.0707344951564464,1000,1,0.926,0.926,1,0.0722043380952159,0,0.163884158307711
"A2",2024,"VCF0838--VCF0890","VCF0838","VCF0890",0.101584072151753,1000,1,0.968,0.968,1,0.0990091158957049,0,0.187811957555013
"A2",2024,"VCF0839--VCF0890","VCF0839","VCF0890",0.266945440954792,1000,1,1,1,1,0.264253007423633,0.173450723483879,0.340392925445297
"A2",2024,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0186928727184489,1000,1,0.595,0.545,0.915966386554622,0.00996763746866004,-0.045814687120131,0.112520622892497
"A2",2024,"VCF0888--VCF0890","VCF0888","VCF0890",0.202850964978324,1000,1,0.993,0.993,1,0.186559427621078,0.0662947651151611,0.303029249783245
"A2",2024,"VCF0806--VCF0894","VCF0806","VCF0894",0.115925421886945,1000,1,0.995,0.995,1,0.113666247441498,0.0290740387967719,0.199965227490129
"A2",2024,"VCF0809--VCF0894","VCF0809","VCF0894",0.158881201459168,1000,1,1,1,1,0.158413912739513,0.0806400059794491,0.241567774003136
"A2",2024,"VCF0838--VCF0894","VCF0838","VCF0894",0.0597191234757199,1000,1,0.876,0.875,0.998858447488584,0.0586092592310149,0,0.149559044162366
"A2",2024,"VCF0839--VCF0894","VCF0839","VCF0894",0.20897158234944,1000,1,1,1,1,0.207029152063487,0.129276006903315,0.278009448100732
"A2",2024,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.117685330392291,1000,1,0.997,0.997,1,0.105352477075334,0.0266808022608514,0.182838941145758
"A2",2024,"VCF0888--VCF0894","VCF0888","VCF0894",-0.0305512817079149,1000,1,0.664,0.641,0.965361445783133,-0.0281989748020817,-0.118586239540404,0
"A2",2024,"VCF0890--VCF0894","VCF0890","VCF0894",0.24336732785639,1000,1,1,1,1,0.242747104448857,0.154520108271967,0.34003985551237
"A2",2024,"VCF0806--VCF9223","VCF0806","VCF9223",0.103479021160507,1000,1,0.996,0.996,1,0.101246455888052,0.0287363151416237,0.174970503379185
"A2",2024,"VCF0809--VCF9223","VCF0809","VCF9223",0,1000,1,0.314,0.686,,0,-0.0775807574672438,0.0423138205262761
"A2",2024,"VCF0838--VCF9223","VCF0838","VCF9223",0.255748972788864,1000,1,1,1,1,0.252962605564182,0.173860230033356,0.329076593977539
