year,pair_index,node1,node2,level1,level2,cell_n,pairwise_n,cell_proportion
2004,8,VCF0806,VCF9223,5,1,14,973,0.0143884892086331
2004,8,VCF0806,VCF9223,6,1,31,973,0.0318602261048304
2004,8,VCF0806,VCF9223,7,1,52,973,0.0534429599177801
2004,8,VCF0806,VCF9223,1,2,18,973,0.0184994861253854
2004,8,VCF0806,VCF9223,2,2,30,973,0.0308324768756423
2004,8,VCF0806,VCF9223,3,2,33,973,0.0339157245632066
2004,8,VCF0806,VCF9223,4,2,50,973,0.0513874614594039
2004,8,VCF0806,VCF9223,5,2,33,973,0.0339157245632066
2004,8,VCF0806,VCF9223,6,2,26,973,0.02672147995889
2004,8,VCF0806,VCF9223,7,2,41,973,0.0421377183967112
2004,8,VCF0806,VCF9223,1,3,33,973,0.0339157245632066
2004,8,VCF0806,VCF9223,2,3,51,973,0.052415210688592
2004,8,VCF0806,VCF9223,3,3,69,973,0.0709146968139774
2004,8,VCF0806,VCF9223,4,3,79,973,0.0811921891058582
2004,8,VCF0806,VCF9223,5,3,65,973,0.0668036998972251
2004,8,VCF0806,VCF9223,6,3,43,973,0.0441932168550874
2004,8,VCF0806,VCF9223,7,3,66,973,0.0678314491264132
2004,8,VCF0806,VCF9223,1,4,15,973,0.0154162384378212
2004,8,VCF0806,VCF9223,2,4,18,973,0.0184994861253854
2004,8,VCF0806,VCF9223,3,4,17,973,0.0174717368961973
2004,8,VCF0806,VCF9223,4,4,25,973,0.025693730729702
2004,8,VCF0806,VCF9223,5,4,23,973,0.0236382322713258
2004,8,VCF0806,VCF9223,6,4,22,973,0.0226104830421377
2004,8,VCF0806,VCF9223,7,4,29,973,0.0298047276464543
2004,9,VCF0809,VCF0838,1,1,25,956,0.0261506276150628
2004,9,VCF0809,VCF0838,2,1,23,956,0.0240585774058577
2004,9,VCF0809,VCF0838,3,1,22,956,0.0230125523012552
2004,9,VCF0809,VCF0838,4,1,18,956,0.0188284518828452
2004,9,VCF0809,VCF0838,5,1,8,956,0.00836820083682008
2004,9,VCF0809,VCF0838,6,1,3,956,0.00313807531380753
2004,9,VCF0809,VCF0838,7,1,19,956,0.0198744769874477
2004,9,VCF0809,VCF0838,1,2,38,956,0.0397489539748954
2004,9,VCF0809,VCF0838,2,2,55,956,0.0575313807531381
2004,9,VCF0809,VCF0838,3,2,64,956,0.0669456066945607
2004,9,VCF0809,VCF0838,4,2,64,956,0.0669456066945607
2004,9,VCF0809,VCF0838,5,2,32,956,0.0334728033472803
2004,9,VCF0809,VCF0838,6,2,23,956,0.0240585774058577
2004,9,VCF0809,VCF0838,7,2,28,956,0.0292887029288703
2004,9,VCF0809,VCF0838,1,3,23,956,0.0240585774058577
2004,9,VCF0809,VCF0838,2,3,30,956,0.0313807531380753
2004,9,VCF0809,VCF0838,3,3,22,956,0.0230125523012552
2004,9,VCF0809,VCF0838,4,3,34,956,0.0355648535564854
2004,9,VCF0809,VCF0838,5,3,26,956,0.0271966527196653
2004,9,VCF0809,VCF0838,6,3,14,956,0.0146443514644351
2004,9,VCF0809,VCF0838,7,3,19,956,0.0198744769874477
2004,9,VCF0809,VCF0838,1,4,39,956,0.0407949790794979
2004,9,VCF0809,VCF0838,2,4,53,956,0.0554393305439331
2004,9,VCF0809,VCF0838,3,4,56,956,0.0585774058577406
2004,9,VCF0809,VCF0838,4,4,70,956,0.0732217573221757
2004,9,VCF0809,VCF0838,5,4,61,956,0.0638075313807531
2004,9,VCF0809,VCF0838,6,4,42,956,0.0439330543933054
2004,9,VCF0809,VCF0838,7,4,45,956,0.047071129707113
2004,10,VCF0809,VCF0839,1,1,25,984,0.0254065040650407
2004,10,VCF0809,VCF0839,2,1,9,984,0.00914634146341463
2004,10,VCF0809,VCF0839,3,1,6,984,0.00609756097560976
2004,10,VCF0809,VCF0839,4,1,1,984,0.00101626016260163
2004,10,VCF0809,VCF0839,5,1,1,984,0.00101626016260163
2004,10,VCF0809,VCF0839,6,1,3,984,0.00304878048780488
2004,10,VCF0809,VCF0839,7,1,4,984,0.0040650406504065
2004,10,VCF0809,VCF0839,1,2,22,984,0.0223577235772358
2004,10,VCF0809,VCF0839,2,2,23,984,0.0233739837398374
2004,10,VCF0809,VCF0839,3,2,12,984,0.0121951219512195
2004,10,VCF0809,VCF0839,4,2,9,984,0.00914634146341463
2004,10,VCF0809,VCF0839,5,2,0,984,0
2004,10,VCF0809,VCF0839,6,2,1,984,0.00101626016260163
2004,10,VCF0809,VCF0839,7,2,4,984,0.0040650406504065
2004,10,VCF0809,VCF0839,1,3,19,984,0.0193089430894309
2004,10,VCF0809,VCF0839,2,3,37,984,0.0376016260162602
2004,10,VCF0809,VCF0839,3,3,26,984,0.0264227642276423
2004,10,VCF0809,VCF0839,4,3,20,984,0.0203252032520325
2004,10,VCF0809,VCF0839,5,3,10,984,0.0101626016260163
2004,10,VCF0809,VCF0839,6,3,2,984,0.00203252032520325
2004,10,VCF0809,VCF0839,7,3,3,984,0.00304878048780488
2004,10,VCF0809,VCF0839,1,4,19,984,0.0193089430894309
2004,10,VCF0809,VCF0839,2,4,48,984,0.0487804878048781
2004,10,VCF0809,VCF0839,3,4,63,984,0.0640243902439024
2004,10,VCF0809,VCF0839,4,4,66,984,0.0670731707317073
2004,10,VCF0809,VCF0839,5,4,30,984,0.0304878048780488
2004,10,VCF0809,VCF0839,6,4,22,984,0.0223577235772358
2004,10,VCF0809,VCF0839,7,4,18,984,0.0182926829268293
2004,10,VCF0809,VCF0839,1,5,15,984,0.0152439024390244
2004,10,VCF0809,VCF0839,2,5,22,984,0.0223577235772358
2004,10,VCF0809,VCF0839,3,5,37,984,0.0376016260162602
2004,10,VCF0809,VCF0839,4,5,57,984,0.0579268292682927
2004,10,VCF0809,VCF0839,5,5,48,984,0.0487804878048781
2004,10,VCF0809,VCF0839,6,5,21,984,0.0213414634146341
2004,10,VCF0809,VCF0839,7,5,18,984,0.0182926829268293
2004,10,VCF0809,VCF0839,1,6,5,984,0.00508130081300813
2004,10,VCF0809,VCF0839,2,6,11,984,0.0111788617886179
2004,10,VCF0809,VCF0839,3,6,16,984,0.016260162601626
2004,10,VCF0809,VCF0839,4,6,28,984,0.0284552845528455
2004,10,VCF0809,VCF0839,5,6,31,984,0.0315040650406504
2004,10,VCF0809,VCF0839,6,6,23,984,0.0233739837398374
2004,10,VCF0809,VCF0839,7,6,17,984,0.0172764227642276
2004,10,VCF0809,VCF0839,1,7,17,984,0.0172764227642276
2004,10,VCF0809,VCF0839,2,7,7,984,0.00711382113821138
2004,10,VCF0809,VCF0839,3,7,12,984,0.0121951219512195
2004,10,VCF0809,VCF0839,4,7,24,984,0.024390243902439
2004,10,VCF0809,VCF0839,5,7,10,984,0.0101626016260163
2004,10,VCF0809,VCF0839,6,7,13,984,0.0132113821138211
2004,10,VCF0809,VCF0839,7,7,49,984,0.0497967479674797
2004,11,VCF0809,VCF0888,1,1,9,1094,0.00822669104204753
2004,11,VCF0809,VCF0888,2,1,5,1094,0.00457038391224863
2004,11,VCF0809,VCF0888,3,1,1,1094,0.000914076782449726
2004,11,VCF0809,VCF0888,4,1,10,1094,0.00914076782449726
2004,11,VCF0809,VCF0888,5,1,4,1094,0.0036563071297989
2004,11,VCF0809,VCF0888,6,1,4,1094,0.0036563071297989
2004,11,VCF0809,VCF0888,7,1,7,1094,0.00639853747714808
2004,11,VCF0809,VCF0888,1,2,41,1094,0.0374771480804388
2004,11,VCF0809,VCF0888,2,2,56,1094,0.0511882998171847
2004,11,VCF0809,VCF0888,3,2,59,1094,0.0539305301645338
2004,11,VCF0809,VCF0888,4,2,63,1094,0.0575868372943327
2004,11,VCF0809,VCF0888,5,2,51,1094,0.046617915904936
2004,11,VCF0809,VCF0888,6,2,30,1094,0.0274223034734918
2004,11,VCF0809,VCF0888,7,2,30,1094,0.0274223034734918
2004,11,VCF0809,VCF0888,1,3,88,1094,0.0804387568555759
2004,11,VCF0809,VCF0888,2,3,117,1094,0.106946983546618
2004,11,VCF0809,VCF0888,3,3,128,1094,0.117001828153565
2004,11,VCF0809,VCF0888,4,3,151,1094,0.138025594149909
2004,11,VCF0809,VCF0888,5,3,88,1094,0.0804387568555759
2004,11,VCF0809,VCF0888,6,3,57,1094,0.0521023765996344
2004,11,VCF0809,VCF0888,7,3,95,1094,0.086837294332724
2004,12,VCF0809,VCF0890,1,1,20,1094,0.0182815356489945
2004,12,VCF0809,VCF0890,2,1,12,1094,0.0109689213893967
2004,12,VCF0809,VCF0890,3,1,9,1094,0.00822669104204753
2004,12,VCF0809,VCF0890,4,1,4,1094,0.0036563071297989
2004,12,VCF0809,VCF0890,5,1,2,1094,0.00182815356489945
2004,12,VCF0809,VCF0890,6,1,2,1094,0.00182815356489945
2004,12,VCF0809,VCF0890,7,1,3,1094,0.00274223034734918
2004,12,VCF0809,VCF0890,1,2,41,1094,0.0374771480804388
2004,12,VCF0809,VCF0890,2,2,58,1094,0.0530164533820841
2004,12,VCF0809,VCF0890,3,2,39,1094,0.0356489945155393
2004,12,VCF0809,VCF0890,4,2,41,1094,0.0374771480804388
2004,12,VCF0809,VCF0890,5,2,12,1094,0.0109689213893967
2004,12,VCF0809,VCF0890,6,2,9,1094,0.00822669104204753
2004,12,VCF0809,VCF0890,7,2,14,1094,0.0127970749542962
2004,12,VCF0809,VCF0890,1,3,76,1094,0.0694698354661792
2004,12,VCF0809,VCF0890,2,3,107,1094,0.0978062157221207
2004,12,VCF0809,VCF0890,3,3,140,1094,0.127970749542962
2004,12,VCF0809,VCF0890,4,3,180,1094,0.164533820840951
2004,12,VCF0809,VCF0890,5,3,127,1094,0.116087751371115
2004,12,VCF0809,VCF0890,6,3,81,1094,0.0740402193784278
2004,12,VCF0809,VCF0890,7,3,117,1094,0.106946983546618
2004,13,VCF0809,VCF0894,1,1,89,1088,0.0818014705882353
2004,13,VCF0809,VCF0894,2,1,81,1088,0.0744485294117647
2004,13,VCF0809,VCF0894,3,1,60,1088,0.0551470588235294
2004,13,VCF0809,VCF0894,4,1,51,1088,0.046875
2004,13,VCF0809,VCF0894,5,1,30,1088,0.0275735294117647
2004,13,VCF0809,VCF0894,6,1,13,1088,0.0119485294117647
2004,13,VCF0809,VCF0894,7,1,23,1088,0.0211397058823529
2004,13,VCF0809,VCF0894,1,2,32,1088,0.0294117647058824
2004,13,VCF0809,VCF0894,2,2,84,1088,0.0772058823529412
2004,13,VCF0809,VCF0894,3,2,100,1088,0.0919117647058824
2004,13,VCF0809,VCF0894,4,2,120,1088,0.110294117647059
2004,13,VCF0809,VCF0894,5,2,61,1088,0.0560661764705882
2004,13,VCF0809,VCF0894,6,2,33,1088,0.0303308823529412
2004,13,VCF0809,VCF0894,7,2,53,1088,0.0487132352941176
2004,13,VCF0809,VCF0894,1,3,16,1088,0.0147058823529412
2004,13,VCF0809,VCF0894,2,3,14,1088,0.0128676470588235
2004,13,VCF0809,VCF0894,3,3,25,1088,0.0229779411764706
2004,13,VCF0809,VCF0894,4,3,52,1088,0.0477941176470588
2004,13,VCF0809,VCF0894,5,3,49,1088,0.0450367647058824
2004,13,VCF0809,VCF0894,6,3,44,1088,0.0404411764705882
2004,13,VCF0809,VCF0894,7,3,58,1088,0.0533088235294118
2004,14,VCF0809,VCF0879a,1,1,74,956,0.0774058577405858
2004,14,VCF0809,VCF0879a,2,1,74,956,0.0774058577405858
2004,14,VCF0809,VCF0879a,3,1,75,956,0.0784518828451883
2004,14,VCF0809,VCF0879a,4,1,72,956,0.0753138075313808
2004,14,VCF0809,VCF0879a,5,1,52,956,0.0543933054393306
2004,14,VCF0809,VCF0879a,6,1,40,956,0.0418410041841004
2004,14,VCF0809,VCF0879a,7,1,63,956,0.0658995815899582
2004,14,VCF0809,VCF0879a,1,2,41,956,0.0428870292887029
2004,14,VCF0809,VCF0879a,2,2,73,956,0.0763598326359833
2004,14,VCF0809,VCF0879a,3,2,83,956,0.0868200836820084
2004,14,VCF0809,VCF0879a,4,2,92,956,0.096234309623431
2004,14,VCF0809,VCF0879a,5,2,53,956,0.0554393305439331
2004,14,VCF0809,VCF0879a,6,2,29,956,0.0303347280334728
2004,14,VCF0809,VCF0879a,7,2,34,956,0.0355648535564854
2004,14,VCF0809,VCF0879a,1,3,13,956,0.0135983263598326
2004,14,VCF0809,VCF0879a,2,3,13,956,0.0135983263598326
2004,14,VCF0809,VCF0879a,3,3,7,956,0.00732217573221757
2004,14,VCF0809,VCF0879a,4,3,20,956,0.0209205020920502
2004,14,VCF0809,VCF0879a,5,3,21,956,0.0219665271966527
2004,14,VCF0809,VCF0879a,6,3,13,956,0.0135983263598326
2004,14,VCF0809,VCF0879a,7,3,14,956,0.0146443514644351
